Time (t),Market Demand M(t)
0.0,100.0
0.1,100.49357864376269
0.2,100.98489586948668
0.30000000000000004,101.47396298426214
0.4,101.96079123864385
0.5,102.44539182693374
0.6000000000000001,102.9277758874623
0.7000000000000001,103.40795450286832
0.8,103.88593870037741
0.9,104.36173945207906
1.0,104.83536767520232
1.1,105.30683423239006
1.2000000000000002,105.77614993197197
1.3,106.24332552823608
1.4000000000000001,106.70837172169898
1.5,107.17129915937467
1.6,107.63211843504209
1.7000000000000002,108.09084008951127
1.8,108.54747461088822
1.9000000000000001,109.00203243483838
2.0,109.4545239448489
2.1,109.90495947248948
2.2,110.35334929767195
2.3000000000000003,110.79970364890863
2.4000000000000004,111.24403270356923
2.5,111.68634658813663
2.6,112.1266553784613
2.7,112.56496910001445
2.8000000000000003,113.00129772813995
2.9000000000000004,113.43565118830492
3.0,113.86803935634917
3.1,114.29847205873331
3.2,114.72695907278563
3.3000000000000003,115.15351012694781
3.4000000000000004,115.57813490101927
3.5,116.00084302640049
3.6,116.42164408633491
3.7,116.84054761614976
3.8000000000000003,117.25756310349564
3.9000000000000004,117.6726999885849
4.0,118.08596766442881
4.1000000000000005,118.49737547707362
4.2,118.9069327258353
4.3,119.31464866353329
4.4,119.7205324967229
4.5,120.12459338592666
4.6000000000000005,120.52684044586451
4.7,120.92728274568277
4.800000000000001,121.32592930918206
4.9,121.72278911504395
5.0,122.11787109705664
5.1000000000000005,122.51118414433937
5.2,122.90273710156579
5.300000000000001,123.2925387691862
5.4,123.6805979036486
5.5,124.06692321761881
5.6000000000000005,124.45152338019926
5.7,124.83440701714692
5.800000000000001,125.21558271108994
5.9,125.59505900174335
6.0,125.97284438612361
6.1000000000000005,126.34894731876207
6.2,126.72337621191744
6.300000000000001,127.09613943578715
6.4,127.46724531871762
6.5,127.83670214741353
6.6000000000000005,128.20451816714606
6.7,128.57070158196004
6.800000000000001,128.93526055488007
6.9,129.2982032081156
7.0,129.65953762326507
7.1000000000000005,130.01927184151887
7.2,130.37741386386153
7.300000000000001,130.73397165127258
7.4,131.0889531249267
7.5,131.44236616639262
7.6000000000000005,131.79421861783132
7.7,132.14451828219293
7.800000000000001,132.49327292341286
7.9,132.8404902666068
8.0,133.18617799826487
8.1,133.53034376644476
8.200000000000001,133.87299518096384
8.3,134.21413981359044
8.4,134.553785198234
8.5,134.89193883113447
8.6,135.22860817105052
8.700000000000001,135.56380063944712
8.8,135.89752362068185
8.9,136.2297844621905
9.0,136.56059047467173
9.1,136.88994893227064
9.200000000000001,137.21786707276166
9.3,137.54435209773035
9.4,137.8694111727543
9.5,138.1930514275832
9.600000000000001,138.5152799563181
9.700000000000001,138.83610381758942
9.8,139.15553003473448
9.9,139.47356559597392
10.0,139.7902174545873
10.100000000000001,140.10549252908768
10.200000000000001,140.4193977033957
10.3,140.73193982701227
10.4,141.04312571519085
10.5,141.35296214910866
10.600000000000001,141.661455876037
10.700000000000001,141.96861360951078
10.8,142.27444202949732
10.9,142.57894778256403
11.0,142.8821374820455
11.100000000000001,143.18401770820967
11.200000000000001,143.48459500842313
11.3,143.78387589731562
11.4,144.08186685694378
11.5,144.37857433695387
11.600000000000001,144.67400475474403
11.700000000000001,144.96816449562536
11.8,145.26105991298238
11.9,145.5526973284327
12.0,145.8430830319859
12.100000000000001,146.13222328220144
12.200000000000001,146.420124306346
12.3,146.70679230054995
12.4,146.992233429963
12.5,147.27645382890907
12.600000000000001,147.55945960104052
12.700000000000001,147.8412568194914
12.8,148.12185152703017
12.9,148.40124973621135
13.0,148.67945742952674
13.100000000000001,148.95648055955564
13.200000000000001,149.2323250491145
13.3,149.50699679140567
13.4,149.7805016501655
13.5,150.0528454598116
