Time (t),Cumulative Profit J_1(t),Cumulative Profit J_2(t)
0.0,0.0,0.0
0.10020040080160321,0.469304656657588,0.4742202337859356
0.20040080160320642,0.9397426741744079,0.9496141705347331
0.30060120240480964,1.4112737058620153,1.426140614818896
0.40080160320641284,1.883857952451202,1.9037589293236172
0.5010020040080161,2.357456155908775,2.3824290285457943
0.6012024048096193,2.832029593319606,2.8621113725595397
0.7014028056112225,3.307540070833285,3.3427669608475186
0.8016032064128257,3.7839499176747178,3.824357326197431
0.9018036072144289,4.2612219802180045,4.306844528662969
1.0020040080160322,4.739319616122957,4.790191149588598
1.1022044088176353,5.218206688533612,5.274360285697488
1.2024048096192386,5.697847560338104,5.759315543241981
1.3026052104208417,6.178207088489263,6.245021032215911
1.402805611222445,6.659250618385325,6.731441360628181
1.503006012024048,7.140943978310128,7.2185416288369355
1.6032064128256514,7.6232534739321896,7.706287423943741
1.7034068136272547,8.106145882862059,8.194644814247123
1.8036072144288577,8.589588449267344,8.683580343754873
1.903807615230461,9.073548878544832,9.17306102675453
2.0040080160320644,9.5579953320491,9.663054342441402
2.1042084168336674,10.042896421877037,10.153528229603584
2.2044088176352705,10.528221205707741,10.644451081363345
2.3046092184368736,11.013939181697154,11.135791739974339
2.404809619238477,11.500020283426934,11.627519491674047
2.50501002004008,11.986434874906974,12.119604061590874
2.6052104208416833,12.473153745631036,12.612015608705379
2.705410821643287,12.960148105684926,13.104724720865033
2.80561122244489,13.447389580906698,13.597702409851971
2.905811623246493,13.93485020809835,14.090920106503239
3.006012024048096,14.422502430288462,14.584349655882908
3.1062124248496996,14.910319092045263,15.077963312505604
3.2064128256513027,15.398273434839611,15.57173373561086
3.306613226452906,15.88633909245739,16.065633984487835
3.4068136272545093,16.374490086460764,16.559637513849825
3.5070140280561124,16.862700821697832,17.053718169258055
3.6072144288577155,17.350946081860187,17.547850182594303
3.7074148296593186,17.83920102508785,18.04200816758179
3.807615230460922,18.32744117962111,18.536167115353862
3.907815631262525,18.81564243949881,19.03030239006997
4.008016032064129,19.303781060302544,19.524389724578487
4.108216432865731,19.79183365494636,20.01840521612582
4.208416833667335,20.27977718951145,20.512325322111415
4.308617234468938,20.767588979125392,21.0061268558881
4.408817635270541,21.25524668388544,21.499786982607375
4.509018036072145,21.742728304825505,21.99328321510915
4.609218436873747,22.23001217992623,22.486593409855455
4.709418837675351,22.717076980167878,22.979695762907703
4.809619238476954,23.20390170562543,23.472568805947027
4.909819639278557,23.690465681605613,23.9651914023373
5.01002004008016,24.17674855482531,24.457542743230324
5.110220440881764,24.66273028963096,24.949602343712776
5.210420841683367,25.148391164258545,25.44135003899454
5.31062124248497,25.633711767133743,25.93276598063793
5.410821643286574,26.118672993211767,26.42383063282737
5.511022044088176,26.603256040356598,26.914524768679186
5.61122244488978,27.0874424057591,27.404829466591057
5.711422845691383,27.57121388239365,27.894726106630664
5.811623246492986,28.054552555512913,28.384196366963234
5.9118236472945895,28.537440799180345,28.873222220317516
6.012024048096192,29.019861272839982,29.361785930489752
6.112224448897796,29.50179691792327,29.84987004888538
6.212424849699399,29.98323095449236,30.337457411097905
6.312625250501002,30.4641468779197,30.824531133524715
6.412825651302605,30.944528455603344,31.311074610019386
6.513026052104209,31.42435972371779,31.79707150858003
6.613226452905812,31.90362498399981,32.282505768073484
6.713426853707415,32.38230880056911,32.767361594994824
6.813627254509019,32.86039599678324,33.25162346026186
6.913827655310621,33.33787165212653,33.73527609604431
7.014028056112225,33.81472109913273,34.218304492627276
7.114228456913827,34.290929920340886,34.70069389530856
7.214428857715431,34.7664839452842,35.182429801329704
7.3146292585170345,35.241369247511486,35.66349795684011
7.414829659318637,35.71557214164091,36.143884353894144
7.515030060120241,36.18907918044571,36.62357522748075
7.615230460921844,36.66187715197141,37.10255705258525
7.715430861723447,37.13395307668445,37.58081654128307
7.81563126252505,37.60529420465172,38.05834063986498
7.915831663326654,38.07588801275067,38.53511652599351
8.016032064128257,38.54572220190982,39.011131605890334
8.11623246492986,39.01478469437924,39.48637351155416
8.216432865731463,39.48306363103072,39.96083009800895
8.316633266533067,39.95054736868734,40.43448944058193
8.41683366733467,40.417224477482044,40.907339832211385
8.517034068136272,40.883083738245126,41.37936978078374
8.617234468937877,41.348114139920064,41.85056800649959
8.71743486973948,41.812304877007556,42.32092343926847
8.817635270541082,42.27564534703755,42.79042521613208
8.917835671342687,42.738125148068725,43.2590626787156
9.01803607214429,43.19973407621534,43.72682537070682
9.118236472945892,43.660462123201164,44.193703035362844
9.218436873747494,44.12029947394006,44.659685613044
9.318637274549099,44.5792365041431,45.12476323877477
9.418837675350701,45.0372637779518,45.58892623983131
9.519038076152304,45.49437204559739,46.052165133355544
9.619238476953909,45.9505522410856,46.51447062399522
9.719438877755511,46.4057954799069,46.97583360156991
9.819639278557114,46.86009305677185,47.43624513876262
9.919839679358718,47.31343644337132,47.8956964888367
10.02004008016032,47.765817286161194,48.35417908337774
10.120240480961924,48.217227404171595,48.811684530060425
10.220440881763528,48.66765878684005,49.268204610439824
10.32064128256513,49.11710359186851,49.72373127776693
10.420841683366733,49.56555414310404,50.17825665482835
10.521042084168338,50.01300292844275,50.63177303180971
10.62124248496994,50.45944259775684,51.084272864182495
10.721442885771543,50.90486596084454,51.53574877061442
10.821643286573147,51.349265985402646,51.98619353090259
10.92184368737475,51.7926357950214,52.435600083929614
11.022044088176353,52.23496866720153,52.88396152564224
11.122244488977957,52.67625803139326,53.33127110705231
11.22244488977956,53.116497467056924,53.7775222322598
11.322645290581162,53.555680701745054,54.22270845649778
