Time,Enterprise_1_X_Avg,Enterprise_1_Y_Avg,Enterprise_1_X_Lower,Enterprise_1_X_Upper,Enterprise_1_Y_Lower,Enterprise_1_Y_Upper,Enterprise_2_X_Avg,Enterprise_2_Y_Avg,Enterprise_2_X_Lower,Enterprise_2_X_Upper,Enterprise_2_Y_Lower,Enterprise_2_Y_Upper
0.0,-5.0,-5.0,-5.5,-4.5,-5.5,-4.5,5.0,5.0,4.5,5.5,4.5,5.5
0.10020040080160321,-4.8999999999999995,-4.8999999999999995,-5.3999999999999995,-4.3999999999999995,-5.3999999999999995,-4.3999999999999995,4.8999999999999995,4.8999999999999995,4.3999999999999995,5.3999999999999995,4.3999999999999995,5.3999999999999995
0.20040080160320642,-4.8,-4.8,-5.3,-4.3,-5.3,-4.3,4.8,4.8,4.3,5.3,4.3,5.3
0.30060120240480964,-4.700000000000002,-4.700000000000002,-5.200000000000002,-4.200000000000002,-5.200000000000002,-4.200000000000002,4.700000000000002,4.700000000000002,4.200000000000002,5.200000000000002,4.200000000000002,5.200000000000002
0.40080160320641284,-4.600000000000001,-4.600000000000001,-5.100000000000001,-4.100000000000001,-5.100000000000001,-4.100000000000001,4.600000000000001,4.600000000000001,4.100000000000001,5.100000000000001,4.100000000000001,5.100000000000001
0.5010020040080161,-4.500000000000001,-4.500000000000001,-5.000000000000001,-4.000000000000001,-5.000000000000001,-4.000000000000001,4.500000000000001,4.500000000000001,4.000000000000001,5.000000000000001,4.000000000000001,5.000000000000001
0.6012024048096193,-4.400000000000003,-4.400000000000003,-4.900000000000003,-3.900000000000003,-4.900000000000003,-3.900000000000003,4.400000000000003,4.400000000000003,3.900000000000003,4.900000000000003,3.900000000000003,4.900000000000003
0.7014028056112225,-4.300000000000003,-4.300000000000003,-4.800000000000003,-3.8000000000000034,-4.800000000000003,-3.8000000000000034,4.300000000000003,4.300000000000003,3.8000000000000034,4.800000000000003,3.8000000000000034,4.800000000000003
0.8016032064128257,-4.200000000000003,-4.200000000000003,-4.700000000000003,-3.700000000000003,-4.700000000000003,-3.700000000000003,4.200000000000003,4.200000000000003,3.700000000000003,4.700000000000003,3.700000000000003,4.700000000000003
0.9018036072144289,-4.100000000000002,-4.100000000000002,-4.600000000000002,-3.6000000000000023,-4.600000000000002,-3.6000000000000023,4.100000000000002,4.100000000000002,3.6000000000000023,4.600000000000002,3.6000000000000023,4.600000000000002
1.0020040080160322,-4.000000000000003,-4.000000000000003,-4.500000000000003,-3.5000000000000027,-4.500000000000003,-3.5000000000000027,4.000000000000003,4.000000000000003,3.5000000000000027,4.500000000000003,3.5000000000000027,4.500000000000003
1.1022044088176353,-3.9000000000000035,-3.9000000000000035,-4.400000000000004,-3.4000000000000035,-4.400000000000004,-3.4000000000000035,3.9000000000000035,3.9000000000000035,3.4000000000000035,4.400000000000004,3.4000000000000035,4.400000000000004
1.2024048096192386,-3.8000000000000034,-3.8000000000000034,-4.300000000000003,-3.3000000000000034,-4.300000000000003,-3.3000000000000034,3.8000000000000034,3.8000000000000034,3.3000000000000034,4.300000000000003,3.3000000000000034,4.300000000000003
1.3026052104208417,-3.7000000000000037,-3.7000000000000037,-4.200000000000004,-3.2000000000000037,-4.200000000000004,-3.2000000000000037,3.7000000000000037,3.7000000000000037,3.2000000000000037,4.200000000000004,3.2000000000000037,4.200000000000004
