Time,Enterprise_1_Production_Scale,Enterprise_2_Production_Scale
0.0,10.0,10.0
0.1,10.075,10.075308641975308
0.2,10.150373593749999,10.150997075498502
0.30000000000000004,10.226119808664324,10.227064393999962
0.4,10.302237625165677,10.303509643836499
0.5,10.37872597639599,10.380331823983349
0.6000000000000001,10.45558374793667,10.457529885735282
0.7000000000000001,10.532809777538507,10.535102732417068
0.8,10.610402854861439,10.613049219103564
0.9,10.68836172122444,10.691368152349632
1.0,10.766685069365751,10.770058289930146
1.1,10.845371543213682,10.849118340590314
1.2000000000000002,10.92441973766823,10.928546963806555
1.3,11.003828198393725,11.00834276955817
1.4000000000000001,11.083595421622721,11.088504318110028
1.5,11.163719853971395,11.1690301198065
1.6,11.24419989226662,11.249918634876876
1.7000000000000002,11.325033883384974,11.331168273252471
1.8,11.40622012410387,11.412777394395672
1.9000000000000001,11.48775686096503,11.494744307141103
2.0,11.569642290150519,11.577067269549167
2.1,11.651874557371514,11.659744488772148
2.2,11.734451757770048,11.742774120933092
2.3000000000000003,11.81737193583389,11.826154271017668
2.4000000000000004,11.90063308532477,11.909882992779226
2.5,11.984233149220136,11.993958288657218
2.6,12.06817001966862,12.07837810970921
2.7,12.1524415379594,12.163140355556648
2.8000000000000003,12.237045494505614,12.248242874344568
2.9000000000000004,12.32197962884202,12.333683462715438
3.0,12.40724162963704,12.419459865797293
3.1,12.492829134719361,12.50556977720634
3.2,12.578739731119231,12.592010839064187
3.3000000000000003,12.664970955124614,12.678780642029864
3.4000000000000004,12.751520292352323,12.765876725346777
3.5,12.838385177834278,12.85329657690475
3.6,12.925562996119012,12.941037633317286
3.7,13.013051081388543,13.029097280014179
3.8000000000000003,13.100846717590722,13.117472851349612
3.9000000000000004,13.188947138587178,13.20616163072585
4.0,13.277349528316938,13.29516085073265
4.1000000000000005,13.366051020975833,13.384467693302481
4.2,13.455048701211759,13.474079289881665
4.3,13.544339604335882,13.563992721617515
4.4,13.633920716549845,13.654205019561568
4.5,13.723788975189052,13.744713164888982
4.6000000000000005,13.813941268982063,13.83551408913415
4.7,13.904374438326162,13.92660467444262
4.800000000000001,13.995085275579129,14.01798175383934
4.9,14.086070525367237,14.109642111513296
5.0,14.177326884909505,14.201582483118555
5.1000000000000005,14.268851004358206,14.293799556091761
5.2,14.360639487155645,14.386289969986079
5.300000000000001,14.452688890407188,14.479050316821613
5.4,14.544995725270535,14.572077141452286
5.5,14.637556457361207,14.66536694194917
5.6000000000000005,14.73036750717421,14.758916170000262
5.7,14.823425250521849,14.852721231326662
5.800000000000001,14.916726018987616,14.946778486115113
5.9,15.010266100396107,15.041084249466882
6.0,15.104041739298893,15.135634791862895
6.1000000000000005,15.19804913747626,15.230426339645067
6.2,15.292284454454737,15.325455075513776
6.300000000000001,15.386743808040295,15.420717139041361
6.4,15.481423274867131,15.516208627201571
6.5,15.576318890961904,15.61192559491486
6.6000000000000005,15.671426652323289,15.707864055609402
6.7,15.766742515516734,15.804019981797717
6.800000000000001,15.862262398284251,15.900389305668766
6.9,15.957982180169088,15.996967919695372
7.0,16.05389770315513,16.09375167725683
7.1000000000000005,16.150004772320838,16.190736393276506
7.2,16.24629915650755,16.287917844874315
7.300000000000001,16.342776589001943,16.38529177203383
7.4,16.439432768232454,16.48285387828388
7.5,16.53626335847947,16.58059983139441
7.6000000000000005,16.633263990599016,16.678525264086417
7.7,16.730430262759768,16.776625774755733
7.800000000000001,16.8277577411931,16.8748969282104
7.9,16.925241960955958,16.973334256421463
8.0,17.022878426706292,17.071933259286862
8.1,17.12066261349075,17.170689405408236
8.200000000000001,17.218589967544414,17.269598132880343
8.3,17.316655907102252,17.368654850092806
8.4,17.41485582322203,17.467854936543944
8.5,17.51318508061835,17.567193743666387
8.6,17.611639018507535,17.666666595664157
8.700000000000001,17.710212951463056,17.766268790360957
8.8,17.808902170281144,17.865995600059293
8.9,17.907701942856296,17.96584227241017
9.0,18.006607515066314,18.06580403129301
9.1,18.105614111666565,18.165876077705423
9.200000000000001,18.204716937193087,18.26605359066259
9.3,18.303911176874188,18.36633172810577
9.4,18.403191997550206,18.46670562781971
9.5,18.502554548601033,18.567170408358514
9.600000000000001,18.601993962881053,18.667721169979625
9.700000000000001,18.701505357661098,18.76835299558557
9.8,18.801083835577053,18.869060951673053
9.9,18.900724485584725,18.969840089289054
10.0,19.000422383920576,19.0706854449935
10.100000000000001,19.100172595067935,19.171592041828156
10.200000000000001,19.199970172728268,19.272554890291303
10.3,19.299810160797136,19.37356898931785
10.4,19.399687594344407,19.474629327264395
10.5,19.49959750059831,19.575730882898927
10.600000000000001,19.59953489993296,19.67686862639466
10.700000000000001,19.699494806858866,19.778037520327647
10.8,19.79947223101609,19.879232520677718
10.9,19.899462178169557,19.980448577832355
11.0,19.999459651206152,20.08168063759305
11.100000000000001,20.09945965113316,20.182923642183724
11.200000000000001,20.19945717807761,20.284172531260815
11.3,20.299447232286138,20.385422242924545
11.4,20.399424815124906,20.486667714730995
11.5,20.49938493007917,20.587903884704527
11.600000000000001,20.599322583752073,20.68912569235013
11.700000000000001,20.699232786862225,20.790328079665272
11.8,20.79911055523967,20.891505992150783
11.9,20.898950910819796,20.992654379820422
12.0,20.99874888263478,21.093768198208604
12.100000000000001,21.09849950780214,21.194842409375937
12.200000000000001,21.19819783250998,21.295871982912097
12.3,21.29783891299852,21.396851896935644
12.4,21.397417816537498,21.497777139090335
12.5,21.496929622399005,21.598642707537536
12.600000000000001,21.5963694228254,21.699443611944304
12.700000000000001,21.69573232399187,21.800174874466723
